"System","Disease","Pedia_FirstLine","Pedia_SecondLine","Adult_FirstLine","Adult_SecondLine","Remarks"
"Upper Respiratory Tract Infection","Pharyngitis or Tonsillitis","Penicillin V 25–50 mg/kg/day PO divided every 6 hours for 10 days.","Amoxicillin 50 mg/kg/day PO divided every 8–12 hours (Max: 1 g/day ) for 10 days.","Penicillin V 500 mg every 12 hours or 250 mg PO every 6 hours for 10 days; or Benzathine Penicillin G 1.2 MU IM as a single dose.","Amoxicillin 500 mg PO every 12 hours for 10 days.","Associated cough, colds, and oral ulcers suggest viral etiology. Co-amoxiclav is not recommended for primary cases. The goal is to eradicate GAS to prevent Acute Rheumatic Fever."
"Upper Respiratory Tract Infection","Recurrent Pharyngitis","Penicillin V 25–50 mg/kg/day or Amoxicillin 50 mg/kg/day.","Cefuroxime axetil 20 mg/kg/day PO divided every 12 hours or Co-amoxiclav 20–40 mg/kg/day (amoxicillin component) divided every 8 hours for 10 days.","Penicillin V 500 mg every 12 hours or Amoxicillin 500 mg PO every 12 hours.","Co-amoxiclav 500/125 mg PO every 12 hours for 10 days.","Hard to distinguish true infection from carriage. Bacteria may internalize in epithelial cells, contributing to persistence."
"Upper Respiratory Tract Infection","Peritonsillar Abscess (Quinsy)","Ampicillin-sulbactam 100 mg/kg/day IV/IM divided every 6 hours; step down to Co-amoxiclav 40 mg/kg/day PO divided every 8 hours for 10 days.","Ceftriaxone 50–75 mg/kg IV every 12–24 hours PLUS Metronidazole 30 mg/kg/day IV every 6 hours.","Ampicillin-sulbactam 6–12 g/day IV/IM divided every 6 hours; step down to Co-amoxiclav 750 mg–1.5 g/day PO divided every 8 hours for 10 days.","Ceftriaxone 2 g IV every 24 hours PLUS Metronidazole 500 mg IV/PO every 6–8 hours.","Surgical drainage is mandatory. Avoid macrolides because Fusobacterium is typically resistant."
"Upper Respiratory Tract Infection","Deep Neck / Retropharyngeal Abscess","Ampicillin-sulbactam 100 mg/kg/day IV/IM; or Cefuroxime 100–150 mg/kg/day IV divided every 8 hours PLUS Metronidazole 30 mg/kg/day IV divided every 6 hours.","Ceftriaxone 50–75 mg/kg/day IV divided every 12–24 hours PLUS Metronidazole 30 mg/kg/day IV.","Ampicillin-sulbactam 6–12 g/day IV/IM; or Cefuroxime 750 mg IV every 8 hours, then step down to Cefuroxime axetil 500 mg PO bid PLUS Metronidazole 500 mg PO every 8 hours.","Ceftriaxone 2 g IV every 24 hours PLUS Metronidazole 500 mg IV.","Surgical drainage is required. Add Clindamycin or Vancomycin if MRSA is suspected (e.g., recent hospitalization)."
"Upper Respiratory Tract Infection","Diphtheria (Membranous Pharyngitis)","Penicillin G 100,000–150,000 U/kg/day IV every 6 hours or Procaine Penicillin 25,000–50,000 U/kg IM every 12 hours; step down to Penicillin V 25–50 mg/kg/day PO every 6 hours for 14 days.","N/A","Penicillin G 50,000 U/kg IV every 12 hours; step down to Penicillin V 250 mg PO every 6 hours for 14 days.","Erythromycin 500 mg every 6 hours IV for 14 days.","Requires urgent DOH notification and isolation. Antibiotics primarily function to stop toxin production and spread."
"Upper Respiratory Tract Infection","Gonococcal Pharyngitis","Ceftriaxone: <45 kg: 125 mg IM single dose; >45 kg: 250 mg IM single dose.","N/A","Ceftriaxone 250 mg IM as a single dose.","N/A","Many oral antibiotics like Cefixime or Cefuroxime are not effective for the pharyngeal site."
"Upper Respiratory Tract Infection","Acute Epiglottitis","Ceftriaxone 50–100 mg/kg/day IV divided every 12–24 hours for 7–10 days.","Ampicillin-sulbactam 100 mg/kg/day IV divided every 6 hours.","Ceftriaxone 2 g every 24 hours IV.","Levofloxacin 750 mg IV every 24 hours PLUS Clindamycin 600–900 mg every 6–8 hours IV.","Mandatory urgent hospitalization due to high risk of airway obstruction."
"Upper Respiratory Tract Infection","Acute Bacterial Rhinosinusitis (ABRS)","Co-amoxiclav 45–50 mg/kg/day PO every 12 hours.","High-dose Co-amoxiclav 90 mg/kg/day PO divided every 12 hours or Cefuroxime 30 mg/kg/day.","Amoxicillin 1 g tid or Co-amoxiclav 875/125 mg PO every 12 hours.","Doxycycline 100 mg bid for 5–7 days.","Prescribe only if symptoms last >10 days or worsen after initial improvement ("double sickening"). Avoid Co-trimoxazole due to high resistance."
"Upper Respiratory Tract Infection","Fungal Sinusitis (Mucormycosis)","N/A","N/A","Amphotericin B 1–1.5 mg/kg/day IV or Liposomal 5–10 mg/kg/day IV","Posaconazole 400 mg PO bid.","Rapidly fatal; predominantly affects diabetics with ketoacidosis or neutropenic patients."
"Upper Respiratory Tract Infection","Otitis Externa (Acute Diffuse)","Ofloxacin ear drops: 1–12 years (5 drops bid); >12 years (10 drops bid) for 7–10 days.","N/A","Ofloxacin ear drops: 10 drops daily for 7 days.","N/A","Avoid submerging the head in water during treatment."
